pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
4,System,1970-01-01 02:00:00,0,0.0,running,0,0.0,329,NT AUTHORITY\SYSTEM
172,,2023-05-23 09:17:24,0,0.0,stopped,0,0.0,0,N/A
212,Registry,2023-05-23 09:17:24,0,0.0,running,0,0.0,4,N/A
736,smss.exe,2023-05-23 09:17:32,0,0.0,running,0,0.0,2,N/A
860,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,9,N/A
960,wininit.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,2,N/A
968,csrss.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,18,N/A
1008,csrss.exe,2023-05-23 09:17:34,0,0.0,running,0,0.0,14,N/A
1052,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,5,N/A
1056,services.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,9,N/A
1076,LsaIso.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,2,N/A
1088,lsass.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,12,N/A
1220,svchost.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,22,N/A
1248,fontdrvhost.exe,2023-05-23 09:17:36,0,0.0,running,0,0.0,5,N/A
1296,RuntimeBroker.exe,2023-05-23 09:48:07,16,0.0,running,32,0.413696,2,DESKTOP-ML12QO1\shell
1328,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,11,N/A
1372,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,5,N/A
1448,winlogon.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,3,N/A
1500,fontdrvhost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,5,N/A
1556,svchost.exe,2023-05-23 09:17:40,0,0.0,running,0,0.0,1,N/A
1580,dwm.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,28,N/A
1616,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,1,N/A
1680,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,3,N/A
1688,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,5,N/A
1696,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,7,N/A
1704,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,2,N/A
1784,taskhostw.exe,2023-05-23 09:18:21,16,0.0,running,32,3.076096,12,DESKTOP-ML12QO1\shell
1800,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,4,N/A
1812,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,2,N/A
1856,svchost.exe,2023-05-23 09:18:20,0,0.0,running,0,0.0,2,N/A
1960,SgrmBroker.exe,2023-05-23 09:19:39,0,0.0,running,0,0.0,9,N/A
1964,svchost.exe,2023-05-23 10:30:59,0,0.0,running,0,0.0,6,N/A
1976,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,7,N/A
2044,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,5,N/A
2064,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,18,N/A
2128,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,4,N/A
2136,svchost.exe,2023-05-23 09:18:21,16,0.0,running,32,0.454656,2,DESKTOP-ML12QO1\shell
2248,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,7,N/A
2312,svchost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,2,N/A
2324,WUDFHost.exe,2023-05-23 09:17:37,0,0.0,running,0,0.0,8,N/A
